Genre,Platform,Global_Sales
Action,PS,444.69
Adventure,PS,36.09
Fighting,PS,132.41
Misc,PS,142.43
Platform,PS,98.22
Puzzle,PS,7.27
Racing,PS,219.27
Role-Playing,PS,141.59
Shooter,PS,210.24
Simulation,PS,50.34
Sports,PS,361.86
Strategy,PS,20.45
Adventure,others,8.2
Fighting,XB,12.83
Misc,DS,130.15
Misc,GB,0.83
Misc,GBA,36.25
Misc,PSP,11.51
Misc,XB,8.67
Platform,DS,74.82
Platform,GB,4.81
Platform,GBA,78.08
Platform,PSP,17.28
Platform,XB,9.66
Puzzle,DS,82.23
Puzzle,GB,1.23
Puzzle,GBA,12.09
Puzzle,PSP,5.52
Puzzle,XB,0.42
Racing,DS,36.99
Racing,GBA,18.8
Racing,PSP,34.61
Racing,XB,31.42
Role-Playing,DS,115.91
Role-Playing,GB,12.56
Role-Playing,GBA,64.21
Role-Playing,PSP,40.52
Role-Playing,XB,13.51
Shooter,DS,7.84
Shooter,GBA,3.6
Shooter,PSP,19.77
Shooter,XB,62.12
Simulation,DS,129.17
Simulation,GBA,5.91
Simulation,PSP,6.1
Simulation,XB,7.11
Sports,DS,31.08
Sports,GB,2.76
Sports,GBA,16.41
Sports,PSP,36.29
Sports,XB,53.05
Strategy,DS,11.52
Strategy,GB,1.09
Strategy,GBA,7.45
Strategy,PSP,8.26
Strategy,XB,2.78
